id_municipio,nome_municipio,ano,apgar1
3300902,Cambuci,2011,7.87
3300902,Cambuci,2012,7.82
3300902,Cambuci,2013,7.85
3300902,Cambuci,2014,7.89
3300902,Cambuci,2015,7.79
3300902,Cambuci,2016,8.06
3300902,Cambuci,2017,8.07
3300902,Cambuci,2018,8.06
3300902,Cambuci,2019,8.16
3300902,Cambuci,2020,8.28
3300936,Carapebus,2010,5.5
3300936,Carapebus,2011,4.67
3300936,Carapebus,2012,9.0
3300936,Carapebus,2013,9.0
3300936,Carapebus,2014,9.0
3300936,Carapebus,2015,10.0
3300936,Carapebus,2016,7.67
3300936,Carapebus,2017,9.0
3300936,Carapebus,2018,2.0
3300936,Carapebus,2019,8.0
3300951,Comendador Levy Gasparian,2010,7.0
3300951,Comendador Levy Gasparian,2020,9.0
3301009,Campos Dos Goytacazes,2010,8.04
3301009,Campos Dos Goytacazes,2011,8.16
3301009,Campos Dos Goytacazes,2012,8.08
3301009,Campos Dos Goytacazes,2013,7.98
3301009,Campos Dos Goytacazes,2014,8.06
3301009,Campos Dos Goytacazes,2015,8.05
3301009,Campos Dos Goytacazes,2016,8.09
3301009,Campos Dos Goytacazes,2017,8.24
3301009,Campos Dos Goytacazes,2018,8.25
3301009,Campos Dos Goytacazes,2019,8.22
3301009,Campos Dos Goytacazes,2020,8.23
3301108,Cantagalo,2010,8.86
3301108,Cantagalo,2011,8.62
3301108,Cantagalo,2012,8.57
3301108,Cantagalo,2013,8.44
3301108,Cantagalo,2014,8.03
3301108,Cantagalo,2015,8.05
3301108,Cantagalo,2016,8.14
3301108,Cantagalo,2017,8.23
3301108,Cantagalo,2018,8.28
3301108,Cantagalo,2019,8.58
3301108,Cantagalo,2020,8.61
3301207,Carmo,2010,8.67
3301207,Carmo,2011,8.53
3301207,Carmo,2012,8.49
3301207,Carmo,2013,8.75
3301207,Carmo,2014,8.72
3301207,Carmo,2015,8.61
3301207,Carmo,2016,8.7
3301207,Carmo,2017,8.62
3301207,Carmo,2018,8.67
3301207,Carmo,2019,8.72
3301207,Carmo,2020,8.78
3301306,Casimiro De Abreu,2010,8.3
3301306,Casimiro De Abreu,2011,8.19
3301306,Casimiro De Abreu,2012,8.14
3301306,Casimiro De Abreu,2013,8.5
3301306,Casimiro De Abreu,2014,8.5
3301306,Casimiro De Abreu,2015,8.5
3301306,Casimiro De Abreu,2016,8.66
3301306,Casimiro De Abreu,2017,8.65
3301306,Casimiro De Abreu,2018,8.64
3301306,Casimiro De Abreu,2019,8.51
3301306,Casimiro De Abreu,2020,8.38
3301405,Conceição De Macabu,2010,8.05
3301405,Conceição De Macabu,2011,8.23
3301405,Conceição De Macabu,2012,7.5
3301405,Conceição De Macabu,2013,7.64
3301405,Conceição De Macabu,2014,4.0
3301405,Conceição De Macabu,2015,8.5
3301405,Conceição De Macabu,2016,8.4
3301405,Conceição De Macabu,2017,8.4
3301405,Conceição De Macabu,2018,8.0
3301405,Conceição De Macabu,2019,9.0
3301405,Conceição De Macabu,2020,9.0
3301504,Cordeiro,2010,8.63
3301504,Cordeiro,2011,8.58
3301504,Cordeiro,2012,8.52
3301504,Cordeiro,2013,8.44
3301504,Cordeiro,2014,8.8
3301504,Cordeiro,2015,8.4
3301504,Cordeiro,2016,8.63
3301504,Cordeiro,2017,8.65
3301504,Cordeiro,2018,8.9
3301504,Cordeiro,2019,8.84
3301504,Cordeiro,2020,8.48
3301603,Duas Barras,2010,8.64
3301603,Duas Barras,2011,8.3
3301603,Duas Barras,2012,8.68
3301603,Duas Barras,2013,8.44
3301603,Duas Barras,2014,8.41
3301603,Duas Barras,2015,8.92
3301603,Duas Barras,2016,8.65
3301603,Duas Barras,2017,8.33
3301603,Duas Barras,2018,8.21
3301603,Duas Barras,2019,8.34
3301603,Duas Barras,2020,8.63
3301702,Duque De Caxias,2010,8.12
3301702,Duque De Caxias,2011,8.15
3301702,Duque De Caxias,2012,8.12
3301702,Duque De Caxias,2013,8.23
3301702,Duque De Caxias,2014,8.25
3301702,Duque De Caxias,2015,8.27
3301702,Duque De Caxias,2016,8.29
3301702,Duque De Caxias,2017,8.31
3301702,Duque De Caxias,2018,8.32
3301702,Duque De Caxias,2019,8.36
3301702,Duque De Caxias,2020,8.33
3301801,Engenheiro Paulo De Frontin,2010,8.5
3301801,Engenheiro Paulo De Frontin,2011,7.5
3301801,Engenheiro Paulo De Frontin,2013,8.0
3301801,Engenheiro Paulo De Frontin,2014,8.14
3301801,Engenheiro Paulo De Frontin,2015,9.0
3301801,Engenheiro Paulo De Frontin,2017,10.0
3301801,Engenheiro Paulo De Frontin,2019,7.33
3301801,Engenheiro Paulo De Frontin,2020,9.0
3301850,Guapimirim,2010,8.1
3301850,Guapimirim,2011,8.17
3301850,Guapimirim,2012,8.14
3301850,Guapimirim,2013,8.14
3301850,Guapimirim,2014,8.24
3301850,Guapimirim,2015,8.3
3301850,Guapimirim,2016,8.38
3301850,Guapimirim,2017,8.38
3301850,Guapimirim,2018,8.24
3301850,Guapimirim,2019,8.31
3301850,Guapimirim,2020,8.17
3301876,Iguaba Grande,2012,8.0
3301876,Iguaba Grande,2019,7.0
3301876,Iguaba Grande,2020,6.0
3301900,Itaboraí,2010,8.26
3301900,Itaboraí,2011,8.49
3301900,Itaboraí,2012,8.56
3301900,Itaboraí,2013,8.57
3301900,Itaboraí,2014,8.5
3301900,Itaboraí,2015,8.45
3301900,Itaboraí,2016,8.33
3301900,Itaboraí,2017,8.39
3301900,Itaboraí,2018,8.46
3301900,Itaboraí,2019,8.41
3301900,Itaboraí,2020,8.55
3302007,Itaguaí,2010,8.28
3302007,Itaguaí,2011,8.09
