id_municipio,nome_municipio,ano,meanApgar1
3300100,Angra Dos Reis,2004,8.03
3300159,Aperibé,2004,8.84
3300209,Araruama,2004,8.3
3300225,Areal,2004,7.92
3300233,Armação Dos Búzios,2004,4.67
3300258,Arraial Do Cabo,2004,8.33
3300308,Barra Do Piraí,2004,7.8
3300407,Barra Mansa,2004,8.45
3300456,Belford Roxo,2004,7.75
3300506,Bom Jardim,2004,8.7
3300605,Bom Jesus Do Itabapoana,2004,8.76
3300704,Cabo Frio,2004,8.16
3300803,Cachoeiras De Macacu,2004,8.16
3300902,Cambuci,2004,7.2
3301009,Campos Dos Goytacazes,2004,7.74
3301108,Cantagalo,2004,8.19
3301207,Carmo,2004,8.44
3301306,Casimiro De Abreu,2004,8.03
3301405,Conceição De Macabu,2004,8.22
3301504,Cordeiro,2004,8.47
3301603,Duas Barras,2004,8.47
3301702,Duque De Caxias,2004,8.0
3301801,Engenheiro Paulo De Frontin,2004,7.79
3301850,Guapimirim,2004,7.83
3301900,Itaboraí,2004,8.1
3302007,Itaguaí,2004,8.09
3302056,Italva,2004,9.15
3302106,Itaocara,2004,7.65
3302205,Itaperuna,2004,7.67
3302254,Itatiaia,2004,8.08
3302270,Japeri,2004,7.85
3302304,Laje Do Muriaé,2004,8.22
3302403,Macaé,2004,8.19
3302452,Macuco,2004,8.0
3302502,Magé,2004,7.7
3302601,Mangaratiba,2004,7.84
3302700,Maricá,2004,6.39
3302809,Mendes,2004,8.93
3302858,Mesquita,2004,8.12
3302908,Miguel Pereira,2004,8.31
3303005,Miracema,2004,8.6
3303104,Natividade,2004,8.64
3303203,Nilópolis,2004,7.39
3303302,Niterói,2004,8.31
3303401,Nova Friburgo,2004,8.45
3303500,Nova Iguaçu,2004,7.77
3303609,Paracambi,2004,7.56
3303708,Paraíba Do Sul,2004,6.89
3303807,Paraty,2004,8.09
3303906,Petrópolis,2004,7.89
3303955,Pinheiral,2004,9.0
3304003,Piraí,2004,8.34
3304102,Porciúncula,2004,8.15
3304110,Porto Real,2004,7.38
3304128,Quatis,2004,8.5
3304144,Queimados,2004,7.92
3304151,Quissamã,2004,8.06
3304201,Resende,2004,7.86
3304300,Rio Bonito,2004,8.77
3304409,Rio Claro,2004,7.73
3304508,Rio Das Flores,2004,7.77
3304524,Rio Das Ostras,2004,8.29
3304557,Rio De Janeiro,2004,8.06
3304607,Santa Maria Madalena,2004,8.11
3304706,Santo Antônio De Pádua,2004,9.11
3304755,São Francisco De Itabapoana,2004,7.92
3304805,São Fidélis,2004,8.39
3304904,São Gonçalo,2004,8.43
3305109,São João De Meriti,2004,8.07
3305158,São José Do Vale Do Rio Preto,2004,8.45
3305208,São Pedro Da Aldeia,2004,7.99
3305307,São Sebastião Do Alto,2004,7.69
3305505,Saquarema,2004,8.13
3305554,Seropédica,2004,7.48
3305604,Silva Jardim,2004,9.0
3305703,Sumidouro,2004,8.23
3305802,Teresópolis,2004,8.18
3305901,Trajano De Moraes,2004,8.53
3306008,Três Rios,2004,8.28
3306107,Valença,2004,8.13
3306156,Varre-Sai,2004,8.07
3306206,Vassouras,2004,8.22
3306305,Volta Redonda,2004,8.16
