id_municipio,nome_municipio,ano,meanApgar1
3300100,Angra Dos Reis,2002,8.03
3300159,Aperibé,2002,8.63
3300209,Araruama,2002,8.42
3300225,Areal,2002,8.04
3300233,Armação Dos Búzios,2002,8.55
3300258,Arraial Do Cabo,2002,7.15
3300308,Barra Do Piraí,2002,7.59
3300407,Barra Mansa,2002,8.14
3300456,Belford Roxo,2002,7.39
3300506,Bom Jardim,2002,8.59
3300605,Bom Jesus Do Itabapoana,2002,8.74
3300704,Cabo Frio,2002,8.18
3300803,Cachoeiras De Macacu,2002,8.14
3300902,Cambuci,2002,7.47
3300936,Carapebus,2002,8.0
3300951,Comendador Levy Gasparian,2002,8.0
3301009,Campos Dos Goytacazes,2002,7.98
3301108,Cantagalo,2002,8.29
3301207,Carmo,2002,8.2
3301306,Casimiro De Abreu,2002,7.99
3301405,Conceição De Macabu,2002,7.68
3301504,Cordeiro,2002,8.34
3301603,Duas Barras,2002,8.48
3301702,Duque De Caxias,2002,7.92
3301801,Engenheiro Paulo De Frontin,2002,7.98
3301850,Guapimirim,2002,8.17
3301900,Itaboraí,2002,7.82
3302007,Itaguaí,2002,8.09
3302056,Italva,2002,9.97
3302106,Itaocara,2002,7.99
3302205,Itaperuna,2002,7.67
3302254,Itatiaia,2002,8.33
3302270,Japeri,2002,7.05
3302304,Laje Do Muriaé,2002,8.13
3302403,Macaé,2002,8.26
3302502,Magé,2002,7.75
3302601,Mangaratiba,2002,7.97
3302700,Maricá,2002,6.75
3302809,Mendes,2002,8.89
3302858,Mesquita,2002,7.82
3302908,Miguel Pereira,2002,7.91
3303005,Miracema,2002,8.68
3303104,Natividade,2002,9.02
3303203,Nilópolis,2002,7.33
3303302,Niterói,2002,8.18
3303401,Nova Friburgo,2002,8.56
3303500,Nova Iguaçu,2002,7.87
3303609,Paracambi,2002,7.91
3303708,Paraíba Do Sul,2002,7.02
3303807,Paraty,2002,7.53
3303856,Paty Do Alferes,2002,8.0
3303906,Petrópolis,2002,7.84
3303955,Pinheiral,2002,9.0
3304003,Piraí,2002,8.28
3304102,Porciúncula,2002,8.22
3304110,Porto Real,2002,7.67
3304128,Quatis,2002,5.38
3304144,Queimados,2002,7.46
3304151,Quissamã,2002,7.88
3304201,Resende,2002,7.96
3304300,Rio Bonito,2002,8.73
3304409,Rio Claro,2002,7.23
3304508,Rio Das Flores,2002,7.98
3304524,Rio Das Ostras,2002,7.25
3304557,Rio De Janeiro,2002,8.04
3304607,Santa Maria Madalena,2002,7.98
3304706,Santo Antônio De Pádua,2002,8.79
3304755,São Francisco De Itabapoana,2002,7.85
3304805,São Fidélis,2002,8.37
3304904,São Gonçalo,2002,8.36
3305000,São João Da Barra,2002,7.86
3305109,São João De Meriti,2002,8.2
3305158,São José Do Vale Do Rio Preto,2002,8.3
3305208,São Pedro Da Aldeia,2002,8.01
3305307,São Sebastião Do Alto,2002,8.12
3305505,Saquarema,2002,8.01
3305604,Silva Jardim,2002,7.33
3305703,Sumidouro,2002,8.12
3305802,Teresópolis,2002,8.18
3305901,Trajano De Moraes,2002,8.81
3306008,Três Rios,2002,8.22
3306107,Valença,2002,8.06
3306156,Varre-Sai,2002,8.27
3306206,Vassouras,2002,7.75
3306305,Volta Redonda,2002,8.07
