id_municipio,nome_municipio,ano,meanApgar1
3300100,Angra Dos Reis,2000,7.84
3300159,Aperibé,2000,8.53
3300209,Araruama,2000,8.29
3300225,Areal,2000,0.0
3300233,Armação Dos Búzios,2000,8.75
3300258,Arraial Do Cabo,2000,8.23
3300308,Barra Do Piraí,2000,7.66
3300407,Barra Mansa,2000,8.39
3300456,Belford Roxo,2000,7.73
3300506,Bom Jardim,2000,8.59
3300605,Bom Jesus Do Itabapoana,2000,8.6
3300704,Cabo Frio,2000,7.69
3300803,Cachoeiras De Macacu,2000,8.04
3300902,Cambuci,2000,7.53
3301009,Campos Dos Goytacazes,2000,8.22
3301108,Cantagalo,2000,8.51
3301207,Carmo,2000,8.3
3301306,Casimiro De Abreu,2000,7.99
3301405,Conceição De Macabu,2000,7.75
3301504,Cordeiro,2000,8.15
3301603,Duas Barras,2000,8.69
3301702,Duque De Caxias,2000,7.85
3301801,Engenheiro Paulo De Frontin,2000,7.58
3301850,Guapimirim,2000,7.22
3301900,Itaboraí,2000,7.27
3302007,Itaguaí,2000,7.52
3302056,Italva,2000,9.97
3302106,Itaocara,2000,7.36
3302205,Itaperuna,2000,7.82
3302254,Itatiaia,2000,8.2
3302270,Japeri,2000,7.0
3302304,Laje Do Muriaé,2000,7.91
3302403,Macaé,2000,8.42
3302502,Magé,2000,7.73
3302601,Mangaratiba,2000,7.8
3302700,Maricá,2000,6.12
3302809,Mendes,2000,8.92
3302908,Miguel Pereira,2000,7.93
3303005,Miracema,2000,8.73
3303104,Natividade,2000,9.0
3303203,Nilópolis,2000,7.7
3303302,Niterói,2000,8.13
3303401,Nova Friburgo,2000,8.46
3303500,Nova Iguaçu,2000,7.95
3303609,Paracambi,2000,8.34
3303708,Paraíba Do Sul,2000,6.92
3303807,Paraty,2000,8.17
3303906,Petrópolis,2000,7.67
3304003,Piraí,2000,8.16
3304102,Porciúncula,2000,8.5
3304128,Quatis,2000,8.55
3304144,Queimados,2000,7.66
3304151,Quissamã,2000,7.9
3304201,Resende,2000,7.93
3304300,Rio Bonito,2000,8.63
3304409,Rio Claro,2000,6.94
3304508,Rio Das Flores,2000,7.81
3304524,Rio Das Ostras,2000,8.02
3304557,Rio De Janeiro,2000,7.92
3304607,Santa Maria Madalena,2000,7.69
3304706,Santo Antônio De Pádua,2000,8.81
3304755,São Francisco De Itabapoana,2000,7.83
3304805,São Fidélis,2000,8.75
3304904,São Gonçalo,2000,8.18
3305109,São João De Meriti,2000,8.18
3305158,São José Do Vale Do Rio Preto,2000,8.11
3305208,São Pedro Da Aldeia,2000,7.87
3305307,São Sebastião Do Alto,2000,8.24
3305505,Saquarema,2000,8.18
3305604,Silva Jardim,2000,7.67
3305703,Sumidouro,2000,8.08
3305752,Tanguá,2000,9.0
3305802,Teresópolis,2000,8.21
3305901,Trajano De Moraes,2000,8.77
3306008,Três Rios,2000,8.05
3306107,Valença,2000,7.73
3306156,Varre-Sai,2000,8.45
3306206,Vassouras,2000,8.17
3306305,Volta Redonda,2000,8.13
