id_municipio,nome_municipio,ano,meanApgar1
3300100,Angra Dos Reis,2006,8.01
3300159,Aperibé,2006,7.96
3300209,Araruama,2006,8.16
3300225,Areal,2006,8.5
3300233,Armação Dos Búzios,2006,8.06
3300258,Arraial Do Cabo,2006,8.24
3300308,Barra Do Piraí,2006,7.66
3300407,Barra Mansa,2006,8.23
3300456,Belford Roxo,2006,7.72
3300506,Bom Jardim,2006,8.78
3300605,Bom Jesus Do Itabapoana,2006,8.28
3300704,Cabo Frio,2006,8.19
3300803,Cachoeiras De Macacu,2006,8.64
3300902,Cambuci,2006,7.52
3300936,Carapebus,2006,8.0
3301009,Campos Dos Goytacazes,2006,7.84
3301108,Cantagalo,2006,8.47
3301207,Carmo,2006,8.44
3301306,Casimiro De Abreu,2006,7.91
3301405,Conceição De Macabu,2006,7.45
3301504,Cordeiro,2006,8.54
3301603,Duas Barras,2006,5.5
3301702,Duque De Caxias,2006,8.05
3301801,Engenheiro Paulo De Frontin,2006,7.46
3301850,Guapimirim,2006,7.95
3301900,Itaboraí,2006,8.15
3302007,Itaguaí,2006,8.14
3302056,Italva,2006,7.92
3302106,Itaocara,2006,8.28
3302205,Itaperuna,2006,7.77
3302254,Itatiaia,2006,8.35
3302270,Japeri,2006,7.87
3302304,Laje Do Muriaé,2006,8.64
3302403,Macaé,2006,8.26
3302502,Magé,2006,7.91
3302601,Mangaratiba,2006,8.02
3302700,Maricá,2006,6.61
3302809,Mendes,2006,8.78
3302858,Mesquita,2006,8.21
3302908,Miguel Pereira,2006,7.95
3303005,Miracema,2006,8.76
3303104,Natividade,2006,8.41
3303203,Nilópolis,2006,7.89
3303302,Niterói,2006,8.14
3303401,Nova Friburgo,2006,8.55
3303500,Nova Iguaçu,2006,7.7
3303609,Paracambi,2006,8.05
3303708,Paraíba Do Sul,2006,7.1
3303807,Paraty,2006,8.49
3303906,Petrópolis,2006,7.85
3303955,Pinheiral,2006,8.15
3304003,Piraí,2006,8.32
3304102,Porciúncula,2006,8.76
3304110,Porto Real,2006,7.89
3304144,Queimados,2006,7.98
3304151,Quissamã,2006,8.03
3304201,Resende,2006,8.05
3304300,Rio Bonito,2006,8.43
3304409,Rio Claro,2006,7.75
3304508,Rio Das Flores,2006,7.85
3304524,Rio Das Ostras,2006,8.23
3304557,Rio De Janeiro,2006,8.15
3304607,Santa Maria Madalena,2006,7.98
3304706,Santo Antônio De Pádua,2006,8.99
3304755,São Francisco De Itabapoana,2006,7.83
3304805,São Fidélis,2006,7.81
3304904,São Gonçalo,2006,8.42
3305000,São João Da Barra,2006,6.0
3305109,São João De Meriti,2006,7.85
3305158,São José Do Vale Do Rio Preto,2006,8.45
3305208,São Pedro Da Aldeia,2006,8.06
3305307,São Sebastião Do Alto,2006,8.03
3305406,Sapucaia,2006,7.0
3305505,Saquarema,2006,7.98
3305554,Seropédica,2006,8.14
3305604,Silva Jardim,2006,7.14
3305703,Sumidouro,2006,8.27
3305802,Teresópolis,2006,8.3
3305901,Trajano De Moraes,2006,8.64
3306008,Três Rios,2006,8.64
3306107,Valença,2006,8.47
3306156,Varre-Sai,2006,8.13
3306206,Vassouras,2006,8.29
3306305,Volta Redonda,2006,8.42
