id_municipio,nome_municipio,ano,meanApgar1
3300100,Angra Dos Reis,1999,7.91
3300159,Aperibé,1999,8.71
3300209,Araruama,1999,8.11
3300225,Areal,1999,7.5
3300233,Armação Dos Búzios,1999,9.6
3300258,Arraial Do Cabo,1999,7.78
3300308,Barra Do Piraí,1999,7.72
3300407,Barra Mansa,1999,8.29
3300456,Belford Roxo,1999,7.53
3300506,Bom Jardim,1999,8.27
3300605,Bom Jesus Do Itabapoana,1999,8.33
3300704,Cabo Frio,1999,7.73
3300803,Cachoeiras De Macacu,1999,8.27
3300902,Cambuci,1999,7.91
3301009,Campos Dos Goytacazes,1999,8.08
3301108,Cantagalo,1999,8.14
3301207,Carmo,1999,8.33
3301306,Casimiro De Abreu,1999,8.01
3301405,Conceição De Macabu,1999,8.0
3301504,Cordeiro,1999,8.23
3301603,Duas Barras,1999,8.25
3301702,Duque De Caxias,1999,7.44
3301801,Engenheiro Paulo De Frontin,1999,7.57
3301850,Guapimirim,1999,7.2
3301900,Itaboraí,1999,7.39
3302007,Itaguaí,1999,0.0
3302056,Italva,1999,10.0
3302106,Itaocara,1999,6.83
3302205,Itaperuna,1999,7.72
3302254,Itatiaia,1999,8.15
3302270,Japeri,1999,6.9
3302304,Laje Do Muriaé,1999,7.75
3302403,Macaé,1999,8.19
3302502,Magé,1999,7.5
3302601,Mangaratiba,1999,7.58
3302700,Maricá,1999,6.29
3302809,Mendes,1999,7.55
3302908,Miguel Pereira,1999,7.92
3303005,Miracema,1999,8.63
3303104,Natividade,1999,8.84
3303203,Nilópolis,1999,7.98
3303302,Niterói,1999,8.09
3303401,Nova Friburgo,1999,8.36
3303500,Nova Iguaçu,1999,7.91
3303609,Paracambi,1999,8.28
3303708,Paraíba Do Sul,1999,7.54
3303807,Paraty,1999,8.06
3303906,Petrópolis,1999,7.72
3303955,Pinheiral,1999,9.0
3304003,Piraí,1999,8.23
3304102,Porciúncula,1999,8.31
3304110,Porto Real,1999,9.0
3304128,Quatis,1999,8.0
3304144,Queimados,1999,7.48
3304151,Quissamã,1999,7.92
3304201,Resende,1999,7.97
3304300,Rio Bonito,1999,8.68
3304409,Rio Claro,1999,6.7
3304508,Rio Das Flores,1999,7.3
3304524,Rio Das Ostras,1999,8.22
3304557,Rio De Janeiro,1999,7.85
3304607,Santa Maria Madalena,1999,7.84
3304706,Santo Antônio De Pádua,1999,9.09
3304755,São Francisco De Itabapoana,1999,7.83
3304805,São Fidélis,1999,8.43
3304904,São Gonçalo,1999,8.26
3305109,São João De Meriti,1999,8.14
3305158,São José Do Vale Do Rio Preto,1999,7.83
3305208,São Pedro Da Aldeia,1999,7.88
3305307,São Sebastião Do Alto,1999,7.92
3305505,Saquarema,1999,8.31
3305604,Silva Jardim,1999,7.58
3305703,Sumidouro,1999,8.02
3305752,Tanguá,1999,7.0
3305802,Teresópolis,1999,8.15
3305901,Trajano De Moraes,1999,8.36
3306008,Três Rios,1999,7.9
3306107,Valença,1999,7.7
3306156,Varre-Sai,1999,7.88
3306206,Vassouras,1999,8.03
3306305,Volta Redonda,1999,8.07
