id_municipio,nome_municipio,ano,meanApgar1
3300100,Angra Dos Reis,2001,8.12
3300159,Aperibé,2001,7.73
3300209,Araruama,2001,8.23
3300233,Armação Dos Búzios,2001,7.75
3300258,Arraial Do Cabo,2001,7.7
3300308,Barra Do Piraí,2001,7.57
3300407,Barra Mansa,2001,8.23
3300456,Belford Roxo,2001,7.24
3300506,Bom Jardim,2001,8.19
3300605,Bom Jesus Do Itabapoana,2001,8.67
3300704,Cabo Frio,2001,7.84
3300803,Cachoeiras De Macacu,2001,8.09
3300902,Cambuci,2001,7.52
3300936,Carapebus,2001,9.0
3301009,Campos Dos Goytacazes,2001,8.2
3301108,Cantagalo,2001,8.64
3301207,Carmo,2001,8.08
3301306,Casimiro De Abreu,2001,7.73
3301405,Conceição De Macabu,2001,6.27
3301504,Cordeiro,2001,8.13
3301603,Duas Barras,2001,8.2
3301702,Duque De Caxias,2001,8.02
3301801,Engenheiro Paulo De Frontin,2001,7.72
3301850,Guapimirim,2001,7.74
3301900,Itaboraí,2001,7.51
3302007,Itaguaí,2001,7.64
3302056,Italva,2001,9.99
3302106,Itaocara,2001,7.82
3302205,Itaperuna,2001,7.78
3302254,Itatiaia,2001,8.49
3302270,Japeri,2001,7.07
3302304,Laje Do Muriaé,2001,7.98
3302403,Macaé,2001,8.22
3302452,Macuco,2001,7.0
3302502,Magé,2001,7.74
3302601,Mangaratiba,2001,7.62
3302700,Maricá,2001,7.28
3302809,Mendes,2001,8.89
3302858,Mesquita,2001,7.92
3302908,Miguel Pereira,2001,8.01
3303005,Miracema,2001,8.61
3303104,Natividade,2001,9.1
3303203,Nilópolis,2001,7.81
3303302,Niterói,2001,8.1
3303401,Nova Friburgo,2001,8.5
3303500,Nova Iguaçu,2001,7.93
3303609,Paracambi,2001,8.42
3303708,Paraíba Do Sul,2001,7.15
3303807,Paraty,2001,8.44
3303906,Petrópolis,2001,7.83
3303955,Pinheiral,2001,9.0
3304003,Piraí,2001,8.32
3304102,Porciúncula,2001,8.14
3304128,Quatis,2001,7.67
3304144,Queimados,2001,7.59
3304151,Quissamã,2001,7.69
3304201,Resende,2001,7.85
3304300,Rio Bonito,2001,8.78
3304409,Rio Claro,2001,6.66
3304508,Rio Das Flores,2001,7.73
3304524,Rio Das Ostras,2001,7.27
3304557,Rio De Janeiro,2001,7.98
3304607,Santa Maria Madalena,2001,7.71
3304706,Santo Antônio De Pádua,2001,8.63
3304755,São Francisco De Itabapoana,2001,7.94
3304805,São Fidélis,2001,8.62
3304904,São Gonçalo,2001,8.22
3305000,São João Da Barra,2001,7.12
3305109,São João De Meriti,2001,8.16
3305158,São José Do Vale Do Rio Preto,2001,8.28
3305208,São Pedro Da Aldeia,2001,7.8
3305307,São Sebastião Do Alto,2001,8.18
3305406,Sapucaia,2001,9.0
3305505,Saquarema,2001,7.99
3305604,Silva Jardim,2001,6.82
3305703,Sumidouro,2001,8.07
3305752,Tanguá,2001,8.5
3305802,Teresópolis,2001,8.23
3305901,Trajano De Moraes,2001,8.65
3306008,Três Rios,2001,8.32
3306107,Valença,2001,8.01
3306156,Varre-Sai,2001,8.31
3306206,Vassouras,2001,7.84
3306305,Volta Redonda,2001,8.07
